Locus	Name	Definition	MolType	MolStruct	Taxonomy	DB_origin	Length	prophage	nb_prot	GC	nb_PhROGs	nb_Sing	nb_Paralog	Host name	Superkingdom	phylum	class	order	family	genus	species	Full taxo	Full taxo with lvl
MG593801	Streptomyces phage Attoomi	Streptomyces phage Attoomi, complete genome.	DNA	linear	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae	BACT_NUCCORE_ENPLUS	41872	undef	53	69.68	33	20	0	Streptomyces azureus	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces azureus	1;131567;2;201174;1760;85011;2062;1883;146537	;root|no rank;cellular organisms|no rank;Bacteria|superkingdom;Actinobacteria|phylum;Actinobacteria|class;Streptomycetales|order;Streptomycetaceae|family;Streptomyces|genus;Streptomyces azureus|species
VI_05583	Betaproteobacteria_gi_484322655_389_4225	Uncultured Caudovirales	DNA	linear	Viruses; dsDNA viruses, no RNA stage; Caudovirales; environmentalsamples.	VirSorter	41869	yes	55	48.08	49	5	1	Neisseria meningitidis NMB	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	Neisseria meningitidis NMB	NA	NA
NC_002667	Lactococcus phage bIL286	Lactococcus prophage bIL286, complete genome.	DNA	linear	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae	REFSEQ	41834	undef	61	35.32	60	1	0	Lactococcus lactis	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus lactis	1;131567;2;1239;91061;186826;1300;1357;1358	;root|no rank;cellular organisms|no rank;Bacteria|superkingdom;Firmicutes|phylum;Bacilli|class;Lactobacillales|order;Streptococcaceae|family;Lactococcus|genus;Lactococcus lactis|species
NC_004664	Streptomyces virus phiBT1	Streptomyces phage phiBT1, complete genome.	DNA	linear	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae; Phic31virus	REFSEQ	41831	undef	55	62.76	45	10	0	Streptomyces lividans	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces lividans	1;131567;2;201174;1760;85011;2062;1883;1916	;root|no rank;cellular organisms|no rank;Bacteria|superkingdom;Actinobacteria|phylum;Actinobacteria|class;Streptomycetales|order;Streptomycetaceae|family;Streptomyces|genus;Streptomyces lividans|species
VI_00481	Bacilli_gi_500219249_340805_382586	Uncultured unclassified Siphoviridae	DNA	linear	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae; unclassified Siphoviridae; environmental samples.	VirSorter	41781	yes	68	34.36	65	2	1	Enterococcus faecalis EnGen0061	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecalis EnGen0061	NA	NA
MF678788	Enterococcus phage phiSHEF2	Enterococcus phage phiSHEF2, complete genome.	DNA	linear	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae	BACT_NUCCORE_ENPLUS	41712	undef	68	34.55	64	2	2	Enterococcus faecalis	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecalis	1;131567;2;1239;91061;186826;81852;1350;1351	;root|no rank;cellular organisms|no rank;Bacteria|superkingdom;Firmicutes|phylum;Bacilli|class;Lactobacillales|order;Enterococcaceae|family;Enterococcus|genus;Enterococcus faecalis|species
NC_023595	Enterococcus phage IME_EF3	Enterococcus phage IME_EF3, complete genome.	DNA	circular	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae	REFSEQ	41687	undef	69	34.59	63	5	1	Enterococcus faecalis	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecalis	1;131567;2;1239;91061;186826;81852;1350;1351	;root|no rank;cellular organisms|no rank;Bacteria|superkingdom;Firmicutes|phylum;Bacilli|class;Lactobacillales|order;Enterococcaceae|family;Enterococcus|genus;Enterococcus faecalis|species
MF678790	Enterococcus phage phiSHEF5	Enterococcus phage phiSHEF5, complete genome.	DNA	linear	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae	BACT_NUCCORE_ENPLUS	41598	undef	69	34.74	65	2	2	Enterococcus faecalis	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecalis	1;131567;2;1239;91061;186826;81852;1350;1351	;root|no rank;cellular organisms|no rank;Bacteria|superkingdom;Firmicutes|phylum;Bacilli|class;Lactobacillales|order;Enterococcaceae|family;Enterococcus|genus;Enterococcus faecalis|species
VI_00858	Bacilli_gi_428765681_1849705_1891283	Uncultured Enterococcus phage phiEf11	DNA	linear	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae; unclassified Siphoviridae; Enterococcus phage phiEf11; environmental samples.	VirSorter	41578	yes	61	34.56	61	0	0	Enterococcus faecalis str. Symbioflor 1	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecalis str. Symbioflor 1	NA	NA
VI_00726	Bacilli_gi_510799013_332654_374213	Uncultured Viruses	DNA	linear	Viruses; environmental samples.	VirSorter	41559	yes	59	37.96	59	0	0	Enterococcus dispar ATCC 51266	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus dispar ATCC 51266	NA	NA
VI_05553	Betaproteobacteria_gi_338760576_20718_62	Uncultured Caudovirales	DNA	linear	Viruses; dsDNA viruses, no RNA stage; Caudovirales; environmentalsamples.	VirSorter	41541	yes	56	50.16	41	14	1	Neisseria sicca 4320	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	Neisseria sicca 4320	NA	NA
NC_001978	Streptomyces virus phiC31	Bacteriophage phi-C31 complete genome.	DNA	linear	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae; Phic31virus	REFSEQ	41491	undef	53	63.61	43	9	1	Streptomyces	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	unknown	1;131567;2;201174;1760;85011;2062;1883	;root|no rank;cellular organisms|no rank;Bacteria|superkingdom;Actinobacteria|phylum;Actinobacteria|class;Streptomycetales|order;Streptomycetaceae|family;Streptomyces|genus
MG708276	Enterococcus phage PMBT2	Enterococcus phage PMBT2, complete genome.	DNA	linear	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae	BACT_NUCCORE_ENPLUS	41489	undef	67	34.69	63	2	2	Enterococcus faecalis	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecalis	1;131567;2;1239;91061;186826;81852;1350;1351	;root|no rank;cellular organisms|no rank;Bacteria|superkingdom;Firmicutes|phylum;Bacilli|class;Lactobacillales|order;Enterococcaceae|family;Enterococcus|genus;Enterococcus faecalis|species
VI_05315	Bacilli_gi_510932048_827932_869296	Uncultured Viruses	DNA	linear	Viruses; environmental samples.	VirSorter	41364	yes	60	38.04	60	0	0	Enterococcus dispar ATCC 51266	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus dispar ATCC 51266	NA	NA
NC_028671	Enterococcus phage vB_EfaS_IME197	Enterococcus phage vB_EfaS_IME197, complete genome.	DNA	linear	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae	REFSEQ	41307	undef	70	34	61	8	1	Enterococcus faecalis	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecalis	1;131567;2;1239;91061;186826;81852;1350;1351	;root|no rank;cellular organisms|no rank;Bacteria|superkingdom;Firmicutes|phylum;Bacilli|class;Lactobacillales|order;Enterococcaceae|family;Enterococcus|genus;Enterococcus faecalis|species
VI_00601	Bacilli_gi_502327608_33351_74643	Uncultured unclassified Siphoviridae	DNA	linear	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae; unclassified Siphoviridae; environmental samples.	VirSorter	41292	yes	60	35.13	60	0	0	Enterococcus faecalis EnGen0360	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecalis EnGen0360	NA	NA
VI_00813	Bacilli_gi_242364291_479779_521001	Uncultured Enterococcus phage phiEf11	DNA	linear	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae; unclassified Siphoviridae; Enterococcus phage phiEf11; environmental samples.	VirSorter	41222	yes	54	32.63	51	3	0	Enterococcus faecalis Merz96	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecalis Merz96	NA	NA
VI_05804	Clostridia_gi_440782432_39828_81041	Uncultured Viruses	DNA	linear	Viruses; environmental samples.	VirSorter	41213	yes	50	33.32	39	11	0	Clostridium pasteurianum DSM 525	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium pasteurianum DSM 525	NA	NA
NC_031260	Enterococcus phage Ec-ZZ2	Enterococcus phage Ec-ZZ2, complete genome.	DNA	linear	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae	REFSEQ	41170	undef	59	34.59	53	3	3	Enterococcus faecalis	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecalis	1;131567;2;1239;91061;186826;81852;1350;1351	;root|no rank;cellular organisms|no rank;Bacteria|superkingdom;Firmicutes|phylum;Bacilli|class;Lactobacillales|order;Enterococcaceae|family;Enterococcus|genus;Enterococcus faecalis|species
VI_00546	Bacilli_gi_501075363_2048191_2089324	Uncultured unclassified Siphoviridae	DNA	linear	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae; unclassified Siphoviridae; environmental samples.	VirSorter	41133	yes	58	35.35	58	0	0	Enterococcus faecalis EnGen0086	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecalis EnGen0086	NA	NA
MF678789	Enterococcus phage phiSHEF4	Enterococcus phage phiSHEF4, complete genome.	DNA	linear	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae	BACT_NUCCORE_ENPLUS	41081	undef	63	34.72	60	0	3	Enterococcus faecalis	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecalis	1;131567;2;1239;91061;186826;81852;1350;1351	;root|no rank;cellular organisms|no rank;Bacteria|superkingdom;Firmicutes|phylum;Bacilli|class;Lactobacillales|order;Enterococcaceae|family;Enterococcus|genus;Enterococcus faecalis|species
VI_05774	Clostridia_gi_313897106	Uncultured Caudovirales	DNA	linear	Viruses; dsDNA viruses, no RNA stage; Caudovirales; environmentalsamples.	VirSorter	40966	no	63	40.93	30	31	2	Clostridium sp. HGF2	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium sp. HGF2	NA	NA
VI_00027	Actinobacteria_gi_410685546	Uncultured Siphoviridae	DNA	linear	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae; environmental samples.	VirSorter	40949	no	48	70.29	39	9	0	Streptomyces sp. FR1	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp. FR1	NA	NA
NC_025465	Enterococcus phage EfaCPT1	Enterococcus phage EfaCPT1, complete genome.	DNA	circular	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae	REFSEQ	40923	undef	69	34.64	66	1	2	Enterococcus faecalis	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecalis	1;131567;2;1239;91061;186826;81852;1350;1351	;root|no rank;cellular organisms|no rank;Bacteria|superkingdom;Firmicutes|phylum;Bacilli|class;Lactobacillales|order;Enterococcaceae|family;Enterococcus|genus;Enterococcus faecalis|species
VI_05688	Betaproteobacteria_gi_487572903	Uncultured Caudovirales	DNA	linear	Viruses; dsDNA viruses, no RNA stage; Caudovirales; environmentalsamples.	VirSorter	40847	no	49	50.46	48	0	1	Neisseria meningitidis 2005040	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	Neisseria meningitidis 2005040	NA	NA
KY092484	Streptomyces phage Raleigh	Streptomyces phage Raleigh, complete genome.	DNA	linear	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae	BACT_NUCCORE_ENPLUS	40785	undef	53	71.8	45	7	1	Streptomyces griseus	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces griseus	1;131567;2;201174;1760;85011;2062;1883;629295;1482596;1911	;root|no rank;cellular organisms|no rank;Bacteria|superkingdom;Actinobacteria|phylum;Actinobacteria|class;Streptomycetales|order;Streptomycetaceae|family;Streptomyces|genus;Streptomyces griseus group|species subgroup;Streptomyces griseus subgroup|no rank;Streptomyces griseus|species
VI_05757	Clostridia_gi_153883811	Uncultured unclassified Siphoviridae	DNA	linear	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae; unclassified Siphoviridae; environmental samples.	VirSorter	40774	no	47	28.05	40	7	0	Clostridium perfringens CPE str. F4969	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium perfringens CPE str. F4969	NA	NA
VI_01158	Clostridia_gi_224514969_26510_67213	Uncultured Viruses	DNA	linear	Viruses; environmental samples.	VirSorter	40703	yes	65	45.6	55	10	0	Clostridium scindens ATCC 35704	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium scindens ATCC 35704	NA	NA
NC_023551	Enterococcus phage IME-EF4	Enterococcus phage IME-EF4, complete genome.	DNA	linear	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae	REFSEQ	40692	undef	60	34.62	56	1	3	Enterococcus sp.	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus sp.	1;131567;2;1239;91061;186826;81852;1350;35783	;root|no rank;cellular organisms|no rank;Bacteria|superkingdom;Firmicutes|phylum;Bacilli|class;Lactobacillales|order;Enterococcaceae|family;Enterococcus|genus;Enterococcus sp.|species
NC_020854	Cyanophage KBS-S-2A	Cyanophage KBS-S-2A genomic sequence.	DNA	linear	Viruses; dsDNA viruses, no RNA stage; unclassified dsDNA phages	REFSEQ	40658	undef	64	49.06	40	23	1	Synechococcus sp.	Bacteria	Cyanobacteria	unknown	Chroococcales	unknown	Synechococcus	Synechococcus sp.	1;131567;2;1117;1301283;1118;1129;1131	;root|no rank;cellular organisms|no rank;Bacteria|superkingdom;Cyanobacteria|phylum;Oscillatoriophycideae|subclass;Chroococcales|order;Synechococcus|genus;Synechococcus sp.|species
VI_00585	Bacilli_gi_502168195_1834634_1875220	Uncultured unclassified Siphoviridae	DNA	linear	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae; unclassified Siphoviridae; environmental samples.	VirSorter	40586	yes	53	37.69	53	0	0	Enterococcus faecalis EnGen0341	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecalis EnGen0341	NA	NA
VI_00610	Bacilli_gi_502432782_1367392_1407978	Uncultured unclassified Siphoviridae	DNA	linear	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae; unclassified Siphoviridae; environmental samples.	VirSorter	40586	yes	53	37.67	53	0	0	Enterococcus faecalis EnGen0332	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecalis EnGen0332	NA	NA
VI_00586	Bacilli_gi_502174871_1518129_1558706	Uncultured unclassified Siphoviridae	DNA	linear	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae; unclassified Siphoviridae; environmental samples.	VirSorter	40577	yes	53	37.6	53	0	0	Enterococcus faecalis EnGen0366	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecalis EnGen0366	NA	NA
VI_00728	Bacilli_gi_510804365_420471_460981	Uncultured unclassified Siphoviridae	DNA	linear	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae; unclassified Siphoviridae; environmental samples.	VirSorter	40510	yes	53	37.37	52	0	1	Enterococcus avium ATCC 14025	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus avium ATCC 14025	NA	NA
VI_00729	Bacilli_gi_510932088_850646_891156	Uncultured unclassified Siphoviridae	DNA	linear	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae; unclassified Siphoviridae; environmental samples.	VirSorter	40510	yes	54	37.36	52	1	1	Enterococcus avium ATCC 14025	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus avium ATCC 14025	NA	NA
NC_018853	Streptomyce phage TG1	Streptomyce phage TG1, complete genome.	DNA	linear	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae	REFSEQ	40474	undef	54	64.64	47	7	0	Streptomyces cattleya	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces cattleya	1;131567;2;201174;1760;85011;2062;1883;29303	;root|no rank;cellular organisms|no rank;Bacteria|superkingdom;Actinobacteria|phylum;Actinobacteria|class;Streptomycetales|order;Streptomycetaceae|family;Streptomyces|genus;Streptomyces cattleya|species
VI_04550	Bacilli_gi_485066273_238_40694	Uncultured unclassified Siphoviridae	DNA	linear	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae; unclassified Siphoviridae; environmental samples.	VirSorter	40456	yes	68	35.67	54	12	2	Lactococcus garvieae UNIUD074	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus garvieae UNIUD074	NA	NA
VI_05541	Betaproteobacteria_gi_223045381_3807_442	Uncultured Siphoviridae	DNA	linear	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae; environmental samples.	VirSorter	40450	yes	53	49.82	37	16	0	Neisseria flavescens NRL30031/H210	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	Neisseria flavescens NRL30031/H210	NA	NA
VI_00816	Bacilli_gi_242355587_843387_883784	Uncultured unclassified Siphoviridae	DNA	linear	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae; unclassified Siphoviridae; environmental samples.	VirSorter	40397	yes	65	35.61	64	1	0	Enterococcus faecalis X98	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecalis X98	NA	NA
NC_025453	Enterococcus phage EFC-1	Enterococcus phage EFC-1, complete genome.	DNA	circular	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae	REFSEQ	40286	undef	59	35.04	55	2	2	Enterococcus faecalis	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecalis	1;131567;2;1239;91061;186826;81852;1350;1351	;root|no rank;cellular organisms|no rank;Bacteria|superkingdom;Firmicutes|phylum;Bacilli|class;Lactobacillales|order;Enterococcaceae|family;Enterococcus|genus;Enterococcus faecalis|species
GQ478087	Enterococcus phage phiFL3B	Enterococcus phage phiFL3B, complete genome.	DNA	linear	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae; Phifelvirus	PVOG	40275	undef	66	34.49	65	0	1	Enterococcus faecalis	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecalis	1;131567;2;1239;91061;186826;81852;1350;1351	;root|no rank;cellular organisms|no rank;Bacteria|superkingdom;Firmicutes|phylum;Bacilli|class;Lactobacillales|order;Enterococcaceae|family;Enterococcus|genus;Enterococcus faecalis|species
NC_031016	Lactococcus phage PLgT-1	Lactococcus phage PLgT-1, complete genome.	DNA	linear	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae	REFSEQ	40273	undef	66	35.4	53	12	1	Lactococcus garvieae	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus garvieae	1;131567;2;1239;91061;186826;1300;1357;1363	;root|no rank;cellular organisms|no rank;Bacteria|superkingdom;Firmicutes|phylum;Bacilli|class;Lactobacillales|order;Streptococcaceae|family;Lactococcus|genus;Lactococcus garvieae|species
VI_00815	Bacilli_gi_242362035_373302_413505	Uncultured unclassified Siphoviridae	DNA	linear	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae; unclassified Siphoviridae; environmental samples.	VirSorter	40203	yes	61	34.92	56	5	0	Enterococcus faecalis E1Sol	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecalis E1Sol	NA	NA
VI_00774	Bacilli_gi_125622882_779007_819130	Uncultured unclassified Siphoviridae	DNA	linear	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae; unclassified Siphoviridae; environmental samples.	VirSorter	40123	yes	62	35.41	61	0	1	Lactococcus lactis subsp. cremoris MG1363	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus lactis subsp. cremoris MG1363	NA	NA
VI_00842	Bacilli_gi_389853198_779839_819962	Uncultured unclassified Siphoviridae	DNA	linear	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae; unclassified Siphoviridae; environmental samples.	VirSorter	40123	yes	62	35.41	61	0	1	Lactococcus lactis subsp. cremoris NZ9000	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus lactis subsp. cremoris NZ9000	NA	NA
VI_05612	Betaproteobacteria_gi_433478052_19813_59	Uncultured Caudovirales	DNA	linear	Viruses; dsDNA viruses, no RNA stage; Caudovirales; environmentalsamples.	VirSorter	40064	yes	65	52.93	55	10	0	Neisseria meningitidis 70012	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	Neisseria meningitidis 70012	NA	NA
NC_002796	Lactococcus phage BK5-T	Lactococcus phage BK5-T, complete genome.	DNA	linear	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae	REFSEQ	40003	undef	63	34.97	49	10	4	Lactococcus lactis	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus lactis	1;131567;2;1239;91061;186826;1300;1357;1358	;root|no rank;cellular organisms|no rank;Bacteria|superkingdom;Firmicutes|phylum;Bacilli|class;Lactobacillales|order;Streptococcaceae|family;Lactococcus|genus;Lactococcus lactis|species
VI_00786	Bacilli_gi_554463091_1712679_1752535	Uncultured unclassified Siphoviridae	DNA	linear	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae; unclassified Siphoviridae; environmental samples.	VirSorter	39856	yes	59	35.99	51	7	1	Lactococcus lactis subsp. lactis KLDS 4.0325	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus lactis subsp. lactis KLDS 4.0325	NA	NA
VI_05670	Betaproteobacteria_gi_498489846	Uncultured Caudovirales	DNA	linear	Viruses; dsDNA viruses, no RNA stage; Caudovirales; environmentalsamples.	VirSorter	39853	no	47	50.19	46	0	1	Neisseria meningitidis NM1482	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	Neisseria meningitidis NM1482	NA	NA
VI_00817	Bacilli_gi_242355587_478649_518482	Uncultured Enterococcus phage phiEf11	DNA	linear	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae; unclassified Siphoviridae; Enterococcus phage phiEf11; environmental samples.	VirSorter	39833	yes	63	34.19	62	0	1	Enterococcus faecalis X98	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecalis X98	NA	NA
VI_00579	Bacilli_gi_501941596_1706486_1746319	Uncultured Enterococcus phage phiEf11	DNA	linear	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae; unclassified Siphoviridae; Enterococcus phage phiEf11; environmental samples.	VirSorter	39833	yes	63	34.19	62	0	1	Enterococcus faecalis EnGen0291	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecalis EnGen0291	NA	NA
VI_05689	Betaproteobacteria_gi_487576318	Uncultured Caudovirales	DNA	linear	Viruses; dsDNA viruses, no RNA stage; Caudovirales; environmentalsamples.	VirSorter	39803	no	49	50.53	47	1	1	Neisseria meningitidis 2002004	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	Neisseria meningitidis 2002004	NA	NA
VI_05687	Betaproteobacteria_gi_514983307	Uncultured Caudovirales	DNA	linear	Viruses; dsDNA viruses, no RNA stage; Caudovirales; environmentalsamples.	VirSorter	39766	no	49	50.53	47	1	1	Neisseria meningitidis 2001068	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	Neisseria meningitidis 2001068	NA	NA
VI_05542	Betaproteobacteria_gi_260590258_28330_68	Uncultured Caudovirales	DNA	linear	Viruses; dsDNA viruses, no RNA stage; Caudovirales; environmentalsamples.	VirSorter	39744	yes	55	50.63	50	5	0	Neisseria subflava NJ9703	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	Neisseria subflava NJ9703	NA	NA
KY676784	Streptomyces phage ToastyFinz	Streptomyces phage ToastyFinz, complete genome.	DNA	linear	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae	BACT_NUCCORE_ENPLUS	39693	undef	52	72.51	46	4	2	Streptomyces viridochromogenes	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces viridochromogenes	1;131567;2;201174;1760;85011;2062;1883;1938	;root|no rank;cellular organisms|no rank;Bacteria|superkingdom;Actinobacteria|phylum;Actinobacteria|class;Streptomycetales|order;Streptomycetaceae|family;Streptomyces|genus;Streptomyces viridochromogenes|species
VI_01299	Clostridia_gi_331270707	Uncultured dsDNA viruses, no RNA stage	DNA	linear	Viruses; dsDNA viruses, no RNA stage; environmental samples.	VirSorter	39648	no	55	28.09	44	11	0	Clostridium botulinum BKT015925	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium botulinum BKT015925	NA	NA
JF767210	Clostridium phage phiCP9O	Clostridium phage phi9O, complete genome.	DNA	linear	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae	PVOG	39594	undef	49	30.19	49	0	0	Clostridium perfringens	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium perfringens	1;131567;2;1239;186801;186802;31979;1485;1502	;root|no rank;cellular organisms|no rank;Bacteria|superkingdom;Firmicutes|phylum;Clostridia|class;Clostridiales|order;Clostridiaceae|family;Clostridium|genus;Clostridium perfringens|species
NC_013648	Enterococcus phage phiFL3A	Enterococcus phage phiFL3A, complete genome.	DNA	linear	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae; Phifelvirus	REFSEQ	39576	undef	64	34.54	62	1	1	Enterococcus faecalis	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecalis	1;131567;2;1239;91061;186826;81852;1350;1351	;root|no rank;cellular organisms|no rank;Bacteria|superkingdom;Firmicutes|phylum;Bacilli|class;Lactobacillales|order;Enterococcaceae|family;Enterococcus|genus;Enterococcus faecalis|species
